increasing,decreasing
5.15104,9.89529
1640.0,3759.47
1021.29,4378.21
0.301881,0.347156
0.036227,0.181395
0.003616,0.008166
0.124219,0.525163
1691.43,2817.53
2052.94,3346.4
3656.09,1701.2
0.003769,0.000474
11.0609,14.4572
3598.34,1789.95
0.004109,0.000101
0.057332,0.265549
0.000375,0.014688
2422.44,2973.89
1991.13,3129.69
0.002599,1e-06
0.031081,0.134689
1.06641,1.23086
1003.87,4395.92
687.244,4709.49
1.05922,1.19261
0.66016,1.81241
59.7307,44.5976
844.351,4552.79
7.08221,7.01389
8.97294,20.9955
45.6158,215.119
32.4402,213.925
295.212,5.403
891.741,2291.72
154.091,325.852
1123.73,1877.69
383.092,5014.14
0.213217,0.069055
1432.96,3956.75
0.13513,0.183659
0.192976,0.69156
0.207694,0.162281
286.914,5104.4
0.067361,0.149007
3204.16,2191.27
53.688,72.7863
0.006271,0.004115
807.547,4591.72
3602.76,1792.46
497.421,542.193
0.047811,0.031839
0.543675,1.65618
63.4149,70.1255
803.693,4586.2
1276.4,4118.39
0.078754,0.07958
1237.06,4158.8
0.138959,0.861041
5142.04,257.501
1.28836,2.24852
3751.17,1603.86
1770.47,3629.05
6.46157,1.20012
0.217389,0.440414
0.441844,0.45477
5.08865,0.941738
0.065357,0.27443
12.4638,6.43536
977.29,4404.31
0.453686,9.24292
517.193,649.181
0.00364,2e-06
3313.65,2038.09
0.010135,0.010036
3.6828,7.08598
0.829673,1.39992
0.025413,0.112493
0.280988,0.108328
6.26433,13.4879
6.86246,9.01154
688.495,4707.4
1.07708,0.451735
781.148,4614.33
2481.15,2915.08
63.8567,5335.42
193.874,5205.65
298.215,5101.22
0.052874,0.092971
0.011971,0.014751
1889.21,3510.18
1156.46,4243.09
0.506449,1.22099
199.857,5199.63
11.1933,7.38477
0.0,0.0
0.690654,0.467294
936.134,4460.64
44.6394,235.044
10.6252,5388.83
0.004494,0.001652
708.671,4620.71
30.5871,5368.76
400.029,727.236
0.264179,0.204434
8.70089,13.2898
0.376833,1.01064
0.245888,1.73838
3343.91,2041.29
0.006504,0.000624
229.547,586.126
1330.43,4064.09
0.467626,0.333945
