increasing,decreasing
0.50399,0.88002
2049.64,3338.42
3218.91,2137.48
0.397514,0.252805
1924.53,3462.05
0.607211,2.401
1386.93,4003.35
2029.55,3356.39
2.55389,5.45484
10.6962,4.64103
17.4038,6.28756
0.001129,0.001488
0.03152,0.101834
12.372,6.27094
1003.68,4395.81
3.40897,4.3454
0.043153,0.053806
21.1542,78.6181
0.041718,0.189777
1.50666,5.06317
2417.4,2982.18
3.55923,8.31241
104.051,76.9846
0.030984,0.007287
189.662,9.10379
0.028535,0.049711
0.0,0.0
0.012885,0.018328
0.002871,0.001202
0.030538,0.050159
0.046656,0.091491
536.733,4859.65
0.217245,0.491605
0.107714,0.223721
827.108,4558.05
0.029408,0.009781
4771.06,628.405
867.916,4531.54
0.0,0.0
663.349,4733.53
0.094024,0.019897
0.065316,0.0074
1.20992,0.984517
445.975,4953.45
0.432419,1.41634
945.017,4454.41
0.486012,4.2433
0.768391,1.56832
0.002483,0.008758
0.045122,0.094413
12.8654,23.7341
3043.35,2339.71
0.002562,0.004577
0.00421,0.007984
0.136462,0.403685
0.062196,0.108323
3273.09,2121.75
0.002512,0.006653
0.092619,0.096253
2435.15,2953.56
68.8284,358.604
0.628535,0.965611
4460.57,934.719
3602.19,1638.11
1061.14,4338.13
3.25886,1.31184
1423.98,3854.49
368.591,1995.61
1485.25,3898.7
1.48419,0.879434
0.001838,0.001495
2010.49,3362.59
