nsolved,pminimal,bioptsat-oll,bioptsat-msu3,bioptsat-msh,bioptsat-us,bioptsat-su
133,8.34,6.4799999999999995,6.37,5.779999999999999,5.45,6.38
134,8.84,8.29,7.9399999999999995,7.619999999999999,8.09,7.83
135,8.93,8.43,8.149999999999999,8.319999999999999,8.26,9.54
136,11.12,9.16,8.379999999999999,8.61,8.4,10.41
137,11.67,9.18,8.93,9.33,8.87,10.42
138,12.959999999999999,9.18,9.11,9.9,9.4,10.59
139,13.26,9.43,9.97,10.149999999999999,10.17,10.75
140,14.34,9.5,10.950000000000001,10.26,10.709999999999999,10.99
141,15.23,10.03,11.059999999999999,10.42,11.129999999999999,11.24
142,16.55,10.43,11.14,11.42,11.25,11.67
143,16.599999999999998,11.129999999999999,11.49,12.15,11.27,11.700000000000001
144,18.990000000000002,11.86,11.889999999999999,12.35,11.29,13.16
145,19.14,11.94,11.92,12.7,11.32,13.809999999999999
146,21.95,12.19,12.15,13.799999999999999,12.34,14.66
147,22.49,12.25,13.309999999999999,14.879999999999999,12.93,15.040000000000001
148,22.650000000000002,12.459999999999999,13.559999999999999,15.19,13.08,15.059999999999999
149,26.5,12.879999999999999,13.809999999999999,15.520000000000001,13.379999999999999,17.68
150,27.96,13.23,13.940000000000001,21.86,14.49,21.84
151,28.22,13.34,14.629999999999999,23.560000000000002,14.600000000000001,22.98
152,30.34,13.85,15.02,23.900000000000002,14.65,23.91
153,32.72,16.69,17.56,23.95,14.81,24.11
154,33.19,20.57,21.98,26.419999999999998,17.37,24.45
155,33.199999999999996,21.16,22.23,26.56,20.69,25.41
156,35.6,23.380000000000003,23.82,27.0,21.86,26.09
157,36.769999999999996,23.82,23.96,28.76,22.78,27.040000000000003
158,38.78,24.02,25.15,29.310000000000002,23.82,27.54
159,40.64,24.38,25.220000000000002,29.68,24.03,28.39
160,43.71,24.46,25.49,29.9,24.85,29.08
161,44.059999999999995,25.009999999999998,27.4,31.34,26.85,30.44
162,45.1,25.89,29.91,33.440000000000005,27.94,31.200000000000003
163,45.53,28.88,30.05,34.2,27.970000000000002,40.76
164,47.81,30.23,30.09,35.77,33.160000000000004,41.44
165,50.49,32.5,31.23,36.82,34.04,47.58
166,52.72,33.160000000000004,32.14,37.83,34.04,47.910000000000004
167,54.59,33.35,32.28,42.089999999999996,35.47,50.379999999999995
168,54.98,33.75,35.11,46.74,36.050000000000004,59.81
169,55.57,34.62,37.26,52.38,38.370000000000005,62.290000000000006
170,75.44,37.480000000000004,41.62,52.85,40.99,68.6
171,77.64999999999999,43.48,44.980000000000004,57.33,44.01,69.08
172,89.06,44.91,52.760000000000005,62.81,53.61,69.81
173,96.99,64.84,58.6,63.7,69.33,74.25
174,105.86,67.54,67.43,66.97000000000001,70.27,77.51
175,117.17999999999999,71.97000000000001,73.44,76.45,71.4,78.27000000000001
176,125.21000000000001,73.61,74.44,78.78999999999999,85.06,80.71000000000001
177,125.27,80.52,84.28,127.83,98.83,104.77
178,158.13000000000002,96.78,109.0,156.01,100.47999999999999,128.2
179,162.70999999999998,112.74,111.49,170.96,103.36,139.4
180,171.64000000000001,136.38,131.48000000000002,180.19,119.59,158.89
181,191.11,141.31,163.98999999999998,184.83,122.91,165.81
182,243.53,154.88,177.72,189.20000000000002,146.73000000000002,176.8
183,254.53,179.21,180.79,204.17,164.23,203.99
184,267.23,185.09,200.39000000000001,204.89,170.07000000000002,211.32999999999998
185,313.93,192.57,209.69,231.23000000000002,175.51,240.16000000000003
186,317.34000000000003,197.53,237.35,263.24,183.97,247.99
187,446.48,213.12,244.01,288.89,198.06,261.69
188,487.26,254.31,255.69000000000003,298.0,198.70000000000002,292.37
189,511.84000000000003,269.68,272.03,302.05999999999995,282.33,303.74
190,516.13,286.47,283.6,314.71,288.78000000000003,310.5
191,549.86,288.5,292.1,332.61,302.32000000000005,323.99
192,619.79,306.53000000000003,298.31,413.51,316.59000000000003,351.14
193,624.14,317.58,321.44,452.8,331.33,431.45
194,630.1,327.29,387.24,471.12,380.59000000000003,505.06
195,646.3100000000001,520.88,461.92,564.93,519.5799999999999,544.6
196,767.0600000000001,579.75,500.21999999999997,588.45,544.51,578.35
197,857.0500000000001,650.06,555.23,631.35,556.9,629.27
198,987.8,664.48,784.09,1011.42,849.53,793.25
199,1396.21,811.23,831.9300000000001,1155.94,871.6999999999999,1235.75
200,1546.54,1062.51,1317.5600000000002,1388.9299999999998,876.73,1262.76
201,1608.4099999999999,1145.4,1360.9399999999998,1485.52,930.1400000000001,1389.8600000000001
202,1877.85,1328.8200000000002,1378.6100000000001,1526.39,1371.83,1396.71
203,1901.69,1438.43,1420.89,1579.6,1407.12,1441.75
204,2160.43,1691.27,1616.74,1593.79,1419.5700000000002,1580.3700000000001
205,2265.39,1810.1200000000001,1670.5500000000002,1609.74,1489.07,1697.5400000000002
206,2387.12,1813.59,1675.96,1664.5,1738.77,1717.13
207,2439.43,1875.9099999999999,1699.19,1782.99,1794.8400000000001,1793.3000000000002
208,2782.1099999999997,2568.01,1765.95,1883.22,2003.37,1878.07
209,3059.0499999999997,3023.44,1888.16,1891.84,2110.5699999999997,1958.96
210,3190.88,3070.99,2601.3500000000004,2057.21,2422.47,2095.92
211,3938.05,3124.0299999999997,2814.54,2564.4900000000002,2500.83,2362.21
212,4095.15,3153.67,2887.5099999999998,2587.2000000000003,2603.48,2557.54
213,5102.78,3458.09,2978.19,2911.7,2673.59,2810.6
214,,,3563.2599999999998,3512.36,2867.97,2945.8500000000004
215,,,5165.79,5026.4,4817.150000000001,5262.9
