nsolved,pminimal,bioptsat-oll,bioptsat-msu3,bioptsat-su,bioptsat-us,bioptsat-msh,seesaw-sat,seesaw-satexmin,seesaw,paretomcs,paretomcs-strat
178,60.8,26.18,26.03,31.71,28.790000000000003,26.23,,,,,
179,62.54,33.78,29.32,32.5,28.9,29.61,,,,,
180,64.41,34.78,35.15,37.32,29.03,32.04,,,,,
181,65.61999999999999,43.04,38.74,39.73,36.52,36.77,,,,,
182,99.53,45.589999999999996,45.839999999999996,67.39,43.83,46.61,,,,,
183,111.60000000000001,99.57,74.55,78.91,80.95,90.14999999999999,,,,,
184,130.01,99.89,82.96,89.6,96.17,98.36,,,,,
185,139.49,106.91,92.06,91.28,97.07,102.55999999999999,,,,,
186,146.04999999999998,127.0,99.45,100.64,103.44,105.35000000000001,,,,,
187,158.26,128.39000000000001,123.1,102.39,104.69,125.22000000000001,,,,,
188,160.98999999999998,136.65,160.65,130.03,116.30999999999999,160.29999999999998,,,,,
189,161.26,148.47,186.07,132.59,132.99,162.02,,,,,
190,164.23000000000002,152.89000000000001,193.9,136.35000000000002,142.62,165.21,,,,,
191,175.57,164.23,201.58,162.12,167.69,184.14,,,,,
192,229.47000000000003,173.28,211.03,169.41,168.42,197.27,,,,,
193,230.43,182.12,217.96,171.57,179.85000000000002,217.6,,,,,
194,254.99,201.47,234.71,184.52,180.65,223.83,,,,,
195,403.73,230.26000000000002,251.14999999999998,199.42,195.49,246.29,,,,,
196,407.62,230.35,251.67999999999998,221.92,234.94,257.01,,,,,
197,408.75,235.46,254.65,230.84,241.70999999999998,269.43,,,,,
198,555.9699999999999,267.62,265.14,271.51,258.40999999999997,280.66,,,,,
199,650.6500000000001,285.78,284.67999999999995,281.87,259.53999999999996,291.8,,,,,
200,682.77,286.25,289.6,398.67,295.96999999999997,324.62,,,,,
201,719.73,478.51,344.13,422.22,330.54,405.03000000000003,,,,,
202,757.1,502.09000000000003,479.61999999999995,548.12,514.99,453.78,,,,,
203,767.75,522.02,481.94,601.18,523.28,469.7,,,,,
204,786.5699999999999,522.08,544.66,636.04,574.65,481.79,,,,,
205,1014.31,543.38,684.7,687.83,692.31,584.85,,,,,
206,1217.26,622.12,685.3299999999999,704.3,739.41,625.32,,,,,
207,1322.21,720.94,731.0400000000001,706.9200000000001,761.5400000000001,714.2,,,,,
208,1407.67,842.1400000000001,774.64,746.89,771.23,764.63,,,,,
209,1450.27,913.29,855.63,793.25,794.3399999999999,784.86,,,,,
210,1538.49,925.24,1130.91,888.4399999999999,876.26,786.08,,,,,
211,1617.99,1056.99,1175.77,1022.4,1010.0,894.55,,,,,
212,1708.1200000000001,1142.33,1191.26,1027.26,1039.3700000000001,956.4599999999999,,,,,
213,1789.6200000000001,1352.52,1311.8000000000002,1058.0500000000002,1050.0600000000002,1091.28,,,,,
214,2224.44,1715.66,1442.85,1090.95,1282.71,1229.7900000000002,,,,,
215,2272.04,1743.75,1722.23,1093.43,1431.72,1307.2800000000002,,,,,
216,3225.98,1988.56,1749.83,1436.75,1524.44,1506.59,,,,,
217,3259.83,2067.29,1831.18,1719.0,1629.83,1806.06,,,,,
218,3644.46,2268.3900000000003,2049.0299999999997,2279.2,1864.3799999999999,2217.43,,,,,
219,5387.95,2320.9,2242.0899999999997,2466.3,2556.04,2346.25,,,,,
220,,2483.6200000000003,2326.49,2713.63,2644.38,2568.31,,,,,
221,,2734.16,3315.6000000000004,2962.42,2964.21,2609.3700000000003,,,,,
222,,4338.400000000001,3649.31,3386.92,3335.26,4065.89,,,,,
223,,,4963.82,4010.21,4356.8099999999995,4197.4,,,,,
224,,,,,,,,,,,
